strain,character_state,character_state_annotation
LIMO.0521.00132,0,edge exists
LIMO.0521.00149,0,edge exists
LIMO.0521.00028,0,edge exists
LIMO.0521.00214,0,edge exists
LIMO.0521.00011,0,edge exists
LIMO.0521.00043,0,edge exists
LIMO.0521.00036,0,edge exists
LIMO.0521.00031,0,edge exists
LIMO.0521.00198,0,edge exists
LIMO.0521.00156,0,edge exists
LIMO.0521.00123,0,edge exists
LIMO.0521.00092,0,edge exists
LIMO.0521.00160,0,edge exists
LIMO.0521.00098,1,parallel edge doesn't exist
LIMO.0521.00220,0,edge exists
LIMO.0521.00210,0,edge exists
LIMO.0521.00001,0,edge exists
LIMO.0521.00074,0,edge exists
LIMO.0521.00005,0,edge exists
LIMO.0521.00139,0,edge exists
LIMO.0521.00231,0,edge exists
LIMO.0521.00089,0,edge exists
LIMO.0521.00167,0,edge exists
LIMO.0521.00063,0,edge exists
LIMO.0521.00027,0,edge exists
LIMO.0521.00219,0,edge exists
LIMO.0521.00192,0,edge exists
LIMO.0521.00083,0,edge exists
LIMO.0521.00184,0,edge exists
LIMO.0521.00114,0,edge exists
LIMO.0521.00094,0,edge exists
LIMO.0521.00150,0,edge exists
LIMO.0521.00050,0,edge exists
LIMO.0521.00166,0,edge exists
LIMO.0521.00052,0,edge exists
LIMO.0521.00003,0,edge exists
LIMO.0521.00059,0,edge exists
LIMO.0521.00004,0,edge exists
LIMO.0521.00148,0,edge exists
LIMO.0521.00158,0,edge exists
LIMO.0521.00142,0,edge exists
LIMO.0521.00084,0,edge exists
LIMO.0521.00061,0,edge exists
LIMO.0521.00228,0,edge exists
LIMO.0521.00097,0,edge exists
LIMO.0521.00049,0,edge exists
LIMO.0521.00060,0,edge exists
LIMO.0521.00119,0,edge exists
LIMO.0521.00131,0,edge exists
LIMO.0521.00068,0,edge exists
LIMO.0521.00032,0,edge exists
LIMO.0521.00086,0,edge exists
LIMO.0521.00213,0,edge exists
LIMO.0521.00190,0,edge exists
LIMO.0521.00022,0,edge exists
LIMO.0521.00102,0,edge exists
LIMO.0521.00175,0,edge exists
LIMO.0521.00137,0,edge exists
LIMO.0521.00034,0,edge exists
LIMO.0521.00211,0,edge exists
LIMO.0521.00111,0,edge exists
LIMO.0521.00010,0,edge exists
LIMO.0521.00229,0,edge exists
LIMO.0521.00042,0,edge exists
LIMO.0521.00138,0,edge exists
LIMO.0521.00243,0,edge exists
LIMO.0521.00205,0,edge exists
LIMO.0521.00037,0,edge exists
LIMO.0521.00259,0,edge exists
LIMO.0521.00233,0,edge exists
LIMO.0521.00216,0,edge exists
LIMO.0521.00147,0,edge exists
LIMO.0521.00106,0,edge exists
LIMO.0521.00164,0,edge exists
LIMO.0521.00044,0,edge exists
LIMO.0521.00065,0,edge exists
LIMO.0521.00165,0,edge exists
LIMO.0521.00090,0,edge exists
LIMO.0521.00124,0,edge exists
LIMO.0521.00021,0,edge exists
LIMO.0521.00218,0,edge exists
LIMO.0521.00009,0,edge exists
LIMO.0521.00234,0,edge exists
LIMO.0521.00039,0,edge exists
LIMO.0521.00115,0,edge exists
LIMO.0521.00129,0,edge exists
LIMO.0521.00256,0,edge exists
LIMO.0521.00008,0,edge exists
LIMO.0521.00085,0,edge exists
LIMO.0521.00170,0,edge exists
LIMO.0521.00248,0,edge exists
LIMO.0521.00236,0,edge exists
LIMO.0521.00145,0,edge exists
LIMO.0521.00130,0,edge exists
LIMO.0521.00227,0,edge exists
LIMO.0521.00144,0,edge exists
LIMO.0521.00057,0,edge exists
LIMO.0521.00025,0,edge exists
LIMO.0521.00122,0,edge exists
LIMO.0521.00185,0,edge exists
LIMO.0521.00207,0,edge exists
LIMO.0521.00033,0,edge exists
LIMO.0521.00143,0,edge exists
LIMO.0521.00109,0,edge exists
LIMO.0521.00254,0,edge exists
LIMO.0521.00075,0,edge exists
LIMO.0521.00206,0,edge exists
LIMO.0521.00235,0,edge exists
LIMO.0521.00172,0,edge exists
LIMO.0521.00096,0,edge exists
LIMO.0521.00195,0,edge exists
LIMO.0521.00048,0,edge exists
LIMO.0521.00071,0,edge exists
LIMO.0521.00168,0,edge exists
LIMO.0521.00101,0,edge exists
LIMO.0521.00099,0,edge exists
LIMO.0521.00240,0,edge exists
LIMO.0521.00203,0,edge exists
LIMO.0521.00217,0,edge exists
LIMO.0521.00244,0,edge exists
LIMO.0521.00202,0,edge exists
LIMO.0521.00047,0,edge exists
LIMO.0521.00016,0,edge exists
LIMO.0521.00116,0,edge exists
LIMO.0521.00077,0,edge exists
LIMO.0521.00055,2,some block is not presented
LIMO.0521.00078,0,edge exists
LIMO.0521.00159,0,edge exists
LIMO.0521.00171,0,edge exists
LIMO.0521.00180,0,edge exists
LIMO.0521.00073,0,edge exists
LIMO.0521.00199,0,edge exists
LIMO.0521.00242,0,edge exists
LIMO.0521.00038,0,edge exists
LIMO.0521.00197,0,edge exists
LIMO.0521.00103,0,edge exists
LIMO.0521.00029,0,edge exists
LIMO.0521.00020,0,edge exists
LIMO.0521.00188,0,edge exists
LIMO.0521.00251,0,edge exists
LIMO.0521.00080,0,edge exists
LIMO.0521.00186,0,edge exists
LIMO.0521.00232,0,edge exists
LIMO.0521.00194,0,edge exists
LIMO.0521.00258,0,edge exists
LIMO.0521.00178,0,edge exists
LIMO.0521.00237,0,edge exists
LIMO.0521.00087,0,edge exists
LIMO.0521.00002,0,edge exists
LIMO.0521.00040,0,edge exists
LIMO.0521.00045,0,edge exists
LIMO.0521.00179,0,edge exists
LIMO.0521.00125,0,edge exists
LIMO.0521.00257,0,edge exists
LIMO.0521.00200,0,edge exists
LIMO.0521.00110,0,edge exists
LIMO.0521.00091,0,edge exists
LIMO.0521.00134,0,edge exists
LIMO.0521.00127,0,edge exists
LIMO.0521.00067,0,edge exists
LIMO.0521.00079,0,edge exists
LIMO.0521.00019,0,edge exists
LIMO.0521.00104,0,edge exists
LIMO.0521.00035,0,edge exists
LIMO.0521.00153,0,edge exists
LIMO.0521.00014,0,edge exists
LIMO.0521.00215,0,edge exists
LIMO.0521.00151,0,edge exists
LIMO.0521.00222,0,edge exists
LIMO.0521.00163,0,edge exists
LIMO.0521.00181,0,edge exists
LIMO.0521.00095,0,edge exists
LIMO.0521.00081,0,edge exists
LIMO.0521.00183,0,edge exists
LIMO.0521.00152,0,edge exists
LIMO.0521.00161,0,edge exists
LIMO.0521.00058,0,edge exists
LIMO.0521.00247,0,edge exists
LIMO.0521.00141,0,edge exists
LIMO.0521.00026,0,edge exists
LIMO.0521.00076,0,edge exists
LIMO.0521.00196,0,edge exists
LIMO.0521.00140,0,edge exists
LIMO.0521.00041,0,edge exists
LIMO.0521.00238,0,edge exists
LIMO.0521.00212,0,edge exists
LIMO.0521.00146,0,edge exists
LIMO.0521.00024,0,edge exists
LIMO.0521.00191,0,edge exists
LIMO.0521.00120,0,edge exists
LIMO.0521.00066,0,edge exists
LIMO.0521.00015,0,edge exists
LIMO.0521.00108,0,edge exists
LIMO.0521.00012,0,edge exists
LIMO.0521.00255,0,edge exists
LIMO.0521.00126,0,edge exists
LIMO.0521.00135,0,edge exists
LIMO.0521.00189,0,edge exists
LIMO.0521.00113,0,edge exists
LIMO.0521.00209,0,edge exists
LIMO.0521.00107,0,edge exists
LIMO.0521.00051,0,edge exists
LIMO.0521.00117,0,edge exists
LIMO.0521.00182,0,edge exists
LIMO.0521.00053,0,edge exists
LIMO.0521.00173,0,edge exists
LIMO.0521.00018,0,edge exists
LIMO.0521.00121,0,edge exists
LIMO.0521.00246,0,edge exists
LIMO.0521.00046,0,edge exists
LIMO.0521.00054,0,edge exists
LIMO.0521.00006,0,edge exists
LIMO.0521.00193,0,edge exists
LIMO.0521.00177,0,edge exists
LIMO.0521.00201,0,edge exists
LIMO.0521.00226,0,edge exists
LIMO.0521.00155,0,edge exists
LIMO.0521.00174,0,edge exists
LIMO.0521.00208,0,edge exists
LIMO.0521.00204,0,edge exists
LIMO.0521.00013,0,edge exists
LIMO.0521.00225,0,edge exists
LIMO.0521.00062,0,edge exists
LIMO.0521.00017,0,edge exists
LIMO.0521.00249,0,edge exists
LIMO.0521.00072,0,edge exists
LIMO.0521.00082,0,edge exists
LIMO.0521.00056,0,edge exists
LIMO.0521.00069,0,edge exists
LIMO.0521.00239,0,edge exists
LIMO.0521.00162,0,edge exists
LIMO.0521.00023,0,edge exists
LIMO.0521.00176,0,edge exists
LIMO.0521.00169,0,edge exists
LIMO.0521.00230,0,edge exists
LIMO.0521.00245,0,edge exists
LIMO.0521.00064,0,edge exists
LIMO.0521.00187,0,edge exists
LIMO.0521.00154,0,edge exists
LIMO.0521.00157,0,edge exists
LIMO.0521.00070,0,edge exists
LIMO.0521.00128,0,edge exists
LIMO.0521.00112,0,edge exists
LIMO.0521.00252,0,edge exists
LIMO.0521.00250,0,edge exists
LIMO.0521.00241,0,edge exists
LIMO.0521.00100,0,edge exists
LIMO.0521.00007,0,edge exists
LIMO.0521.00118,0,edge exists
LIMO.0521.00105,0,edge exists
LIMO.0521.00133,0,edge exists
LIMO.0521.00224,0,edge exists
LIMO.0521.00253,0,edge exists
LIMO.0521.00030,0,edge exists
LIMO.0521.00223,0,edge exists
LIMO.0521.00093,0,edge exists
LIMO.0521.00136,0,edge exists
LIMO.0521.00088,0,edge exists
